DATE,FTSE100,Nikkei,SP500,SSE,USDINDEX
2006/5/23,-0.016270885,-0.016446271,0.011305941,-0.032579851,-0.002383945
2006/5/24,0.016093012,0.019552206,0.005703043,-0.008529643,0.007028144
2006/5/25,0.019758767,-0.013509306,-0.01597656,0.000314924,-0.005618762
2006/5/26,-0.024291985,0.017496992,0.0080792,0.014020047,0.000584443
2006/5/30,0.012621664,-0.006993986,0.012223327,0.026532591,-0.003186907
2006/5/31,0.004511273,-0.025035487,0.001950333,-0.009693869,0.001868361
2006/6/1,0.002593296,0.002351237,-0.017960022,0.025799032,2.15E-05
2006/6/2,-0.000432039,0.018251802,-0.001138777,-0.008823963,-0.002234203
2006/6/5,-0.016155118,-0.007692928,-0.006111092,0.009078697,-0.00191153
2006/6/6,0.006416995,-0.018256242,0.001416049,-0.003269001,0.007946316
2006/6/7,-0.02544233,-0.018953476,-0.004485656,-0.054825567,0.00019561
2006/6/8,0.01644873,-0.031149135,-0.011937218,0.001222839,0.007785102
2006/6/9,-0.006090799,0.008018699,-0.011173846,-0.025523221,-0.003891063
2006/6/12,-0.018173848,0.005555068,0.005175885,0.000910991,2.33E-05
2006/6/13,-0.002323505,-0.042304148,0.021012755,-0.00277496,0.003754508
2006/6/14,0.020216218,0.006376876,-0.003684651,-0.011148792,-0.000872802
2006/6/15,-0.003894191,0.011202231,-0.009158607,0.001730955,0.000513862
2006/6/16,0.005105357,0.027843617,-8.07E-06,0.026051176,0.000284129
2006/6/19,0.005689346,-0.001277097,0.00969382,0.007478613,0.002345782
2006/6/20,0.001208137,-0.014364758,-0.005284643,0.003804186,-0.0013454
2006/6/21,0.003357095,-0.000283374,-0.000883479,0.003625787,-0.004629345
2006/6/22,0.001416991,0.033007125,0.004857655,-0.001283538,0.005375443
2006/6/23,-0.001916757,-0.000770026,-0.009125528,0.00602481,0.003385271
2006/6/26,-0.005115823,0.001873428,0.00547245,0.017127028,-0.000585557
2006/6/27,0.004647506,0.001280111,0.021335769,0.003728724,-0.001454308
2006/6/28,0.019686671,-0.019010485,-0.00209986,-0.000161651,0.001742099
2006/6/29,0.007215577,0.015665865,0.007834129,0.019531257,-0.001774352
2006/6/30,0.00870813,0.02507969,-0.007275252,0.000354694,-0.009799328
2006/7/3,-0.000154657,0.004275893,0.002491109,0.014881399,-0.002151969
2006/7/5,0.001104169,-0.003066658,-0.006772834,0.012455715,0.002759429
2006/7/6,-0.00019866,-0.013132807,0.001468708,0.013245715,-0.001730756
2006/7/7,0.001364359,-0.000900456,0.004008312,-0.006498373,-0.003953268
2006/7/10,-0.006738043,0.015891189,-0.010928528,0.002389388,0.002355261
2006/7/11,0.000556416,-0.005091718,-0.013051549,0.006595774,0.002363982
2006/7/12,-0.016436539,-0.014614651,-0.004906306,-0.003331244,0.003120977
2006/7/13,-0.010006499,-0.009975946,-0.001384197,-0.049617175,0.000386648
2006/7/14,-0.001165788,-0.016879696,0.001917977,0.005682107,0.001248228
